"","est","sem","n"
"1",2.13703769487404,0.438023861510357,60
"2",1.21564444003808,0.351395833735909,60
"3",0.418311357752843,0.299611307276627,60
"4",0.593360905512651,0.308610745972742,60
"5",1.78602254037089,0.402386525117406,60
"6",0.128597651497895,0.28828755801035,60
"7",1.225060781895,0.35215578614544,60
"8",-0.393739411963385,0.281665872801717,60
"9",-0.392584117897252,0.281657525386789,60
"10",-0.611390829807035,0.294060823216242,58
"11",-0.241027383445713,0.282136379827983,59
"12",0.417324646889415,0.318477201624096,54
"13",-0.0617449720749291,0.283613705820503,60
"14",-0.706949661221916,0.288256348496371,60
"15",-0.297960272630465,0.281348066613414,60
"16",2.03169132795121,0.427041467062072,60
"17",-0.143520287095959,0.282361534621234,60
"18",0.253497132970286,0.292586064615139,60
"19",1.17873744220067,0.3484464945216,60
"20",0.212829701732743,0.291085314474613,60
"21",1.68607310121073,0.392778635676403,60
"22",0.158591528895589,0.289234818123774,60
"23",0.704958123649571,0.315124585401151,59
"24",1.14182399520311,0.345543928430965,60
"25",0.0900511356006119,0.287483632076093,59
"26",-0.0107213285014857,0.284631777225464,60
"27",1.64189128282891,0.388615760833001,60
"28",-0.343055446631489,0.283563409973891,59
"29",1.68613209209649,0.392784229050114,60
"30",-0.481971901271614,0.282854615098222,59
"31",0.244216655588269,0.292235188419163,60
"32",0.0562125333449275,0.28623201728876,60
"33",0.937236783271708,0.330354801607465,60
"34",-0.225936419859025,0.283255068309181,59
"35",1.14024074088729,0.345420505370789,60
"36",0.252483403120011,0.29254749784453,60
"37",1.94293537431544,0.438570585609426,55
"38",0.267778600553108,0.293135612545782,60
"39",2.24747975367867,0.449772793164884,60
"40",0.650445938237319,0.311863030625502,60
"41",0.969854839199346,0.332670946567993,60
"42",0.476117249287747,0.302415423208074,60
"43",1.23181035176937,0.352702366414244,60
"44",2.04972694795281,0.428905306900502,60
"45",0.48062375278638,0.302641128454717,60
"46",2.14937088338795,0.439324313548516,60
"47",1.30773333615993,0.358955523485858,60
"48",1.10491335137475,0.342689737959958,60
"49",0.439991184074356,0.300643024660796,60
"50",1.09438751588024,0.34188475336584,60
"51",1.66060757637775,0.398240567350096,57
"52",2.61647423716216,0.490486133343064,60
"53",0.734135269969324,0.32011846352303,59
"54",1.10011769388158,0.342322484545317,60
"55",1.32581906136884,0.360473047269414,60
"56",1.35018925331858,0.362534561744946,60
"57",2.08530490628622,0.432602111516287,60
"58",0.486841093874242,0.303364602104399,59
"59",0.644595212862544,0.311522813335066,60
"60",0.59303403426665,0.308592558420164,60
"61",0.978539004899371,0.333294522947931,60
"62",0.975918638153205,0.333106059492478,60
"63",-0.0739443404187857,0.284460270555826,59
"64",1.57519491804801,0.382433243071847,60
"65",0.809381007190033,0.321683976047938,60
"66",0.977898126508308,0.333248405018276,60
"67",0.6345524193485,0.31094246832916,60
"68",0.94006504491962,0.330553992470483,60
"69",0.656584808088617,0.312221674928446,60
"70",0.278762316789862,0.293566120742437,60
"71",1.07762027984459,0.340610732217895,60
"72",0.094911574211599,0.299162317376708,57
"73",2.5990850777585,0.488525219224089,60
"74",2.49634997848576,0.477016344290021,60
"75",1.32810640744426,0.365008608376757,59
"76",2.42135657753837,0.468705330808766,60
"77",0.626676493992441,0.310490572222584,60
"78",1.4223670487903,0.371284804819446,57
"79",1.91918987504005,0.415576455515462,60
"80",0.830196707330763,0.32305027686745,60
"81",2.3585860776591,0.461813492623481,60
"82",1.02331685503048,0.336555445228134,60
"83",1.78583080167359,0.402367847717364,60
"84",1.41460970611528,0.36807457265411,60
"85",1.12923647501594,0.344565118102567,60
"86",3.13573972729026,0.550204591750396,60
"87",0.664562966879521,0.317119245151664,59
"88",1.74697570330052,0.39860222904086,60
"89",1.75273761524232,0.403445221365636,59
"90",0.723646794810007,0.31624948246551,60
"91",3.14937934902625,0.551790652930371,60
"92",2.06438672797715,0.430425357710169,60
"93",1.279373384473,0.356597400753522,60
"94",0.246938463080155,0.292337583346392,60
"95",1.85315649441768,0.408982329922609,60
"96",2.95682076406115,0.529443597333098,60
"97",2.85642731669658,0.517857453254712,60
"98",2.51931029841655,0.479576621234592,60
"99",1.35567725590198,0.368735713613828,56
"100",0.883735141394547,0.329252499428553,59
"101",2.08873224640853,0.432959625430243,60
"102",2.489863995478,0.476294398175207,60
"103",0.874853916950923,0.326041644723734,60
"104",1.38093617903914,0.365162481737948,60
"105",1.49323702663761,0.375860868394195,59
"106",1.83607269782456,0.407293343111758,60
"107",1.92403566542513,0.416064395975466,60
"108",1.43611916192591,0.369953069674327,60
"109",-1.2125057945031,0.318341703099089,60
"110",2.28388911537016,0.453695190227684,60
"111",1.35132227629792,0.362630868439524,60
"112",0.317074004984242,0.314306882753463,54
"113",-0.360531470846656,0.285446616830235,59
"114",2.8796766540083,0.520535062045464,60
"115",0.808969631864061,0.321657155902729,60
"116",1.08699445999468,0.341321749725131,60
"117",1.34897786521295,0.362431639306479,60
"118",0.822222236894575,0.427316803025685,33
"119",2.4436077308205,0.471162801164632,60
"120",1.20563800097141,0.350591569326116,60
"121",1.05838593294568,0.406271161020595,40
"122",1.59752426662876,0.384489248852974,60
"123",1.12096101184387,0.343924682835499,60
"124",2.64626252541894,0.493853288767723,60
"125",0.627484033129556,0.310536775195,60
"126",1.79971800958354,0.403723002455659,60
"127",0.210436388240392,0.29369016494532,58
"128",1.79015090590043,0.402788896828315,60
"129",-1.29906622810407,0.329269590431287,59
